latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
17.410227,100.157677,330.59,0.39,0.36,2021-12-01,0630,N,VIIRS,l,1,301.17,3.13,D,0
17.404573,100.121292,330.78,0.39,0.36,2021-12-01,0630,N,VIIRS,l,1,303.01,3.92,D,0
17.40053,100.073387,332.61,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,299.63,1.78,D,0
17.33823,99.654335,333.9,0.39,0.37,2021-12-01,0630,N,VIIRS,n,1,300.39,3.32,D,0
17.442104,100.2976,350.05,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,302.28,5.85,D,0
17.131779,98.311073,331.73,0.43,0.38,2021-12-01,0630,N,VIIRS,n,1,300.15,2.13,D,0
17.434038,100.157417,346.86,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,302.43,3.77,D,0
17.437361,100.156853,347.4,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,303.21,4.19,D,0
17.436796,100.153221,336.72,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,301.65,4.19,D,0
17.440119,100.152664,327.77,0.39,0.36,2021-12-01,0630,N,VIIRS,l,1,301.58,4.19,D,0
17.668329,101.640366,326.56,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,298.26,1.62,D,0
17.443439,100.152107,343.35,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,301.33,4.46,D,0
17.443317,100.107315,333.76,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,300.06,2.53,D,0
17.165747,98.342758,338.05,0.43,0.38,2021-12-01,0630,N,VIIRS,n,1,299.75,4.31,D,0
17.462904,100.189873,329.72,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,300.51,2.55,D,0
17.453848,100.109283,328.03,0.39,0.36,2021-12-01,0630,N,VIIRS,l,1,301.72,2.23,D,0
17.501352,100.395454,332.39,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,301.34,1.91,D,0
17.45717,100.108727,329.94,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,302.27,1.71,D,0
17.452595,100.057152,333.3,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,299.67,1.8,D,0
17.512957,100.404655,329.96,0.39,0.36,2021-12-01,0630,N,VIIRS,l,1,301.55,2.47,D,0
17.473328,100.147095,329.74,0.39,0.36,2021-12-01,0630,N,VIIRS,l,1,303.5,5.23,D,0
17.472767,100.143456,350.64,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,304.33,6.92,D,0
17.472202,100.139816,329.07,0.39,0.36,2021-12-01,0630,N,VIIRS,l,1,300.05,6.92,D,0
17.471642,100.136177,336.34,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,299.89,3.6,D,0
17.190668,98.363533,339.05,0.43,0.38,2021-12-01,0630,N,VIIRS,n,1,298.69,8.85,D,0
17.476088,100.142899,339.84,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,301.68,4.02,D,0
17.467587,100.065849,329.28,0.39,0.36,2021-12-01,0630,N,VIIRS,l,1,303.75,3.7,D,0
17.467024,100.062202,339.07,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,302.1,3.51,D,0
17.462505,100.03302,335.07,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,302.59,4.22,D,0
17.462267,100.013985,336.15,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,300.41,3.39,D,0
17.484358,100.133667,338.58,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,301.24,2.88,D,0
17.80007,102.10688,333.68,0.4,0.37,2021-12-01,0630,N,VIIRS,n,1,299.38,2.81,D,0
17.486118,100.013718,338.12,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,299.12,1.67,D,0
17.901678,102.575325,343.43,0.41,0.37,2021-12-01,0630,N,VIIRS,n,1,300.65,6.12,D,0
17.546957,100.141846,336.44,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,301.02,2.05,D,0
17.553213,100.006157,327.18,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,299.59,1.26,D,0
17.578423,100.102943,333.2,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,300.78,1.59,D,0
17.60494,100.235893,341.51,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,297.18,2.69,D,0
17.634617,100.163826,329.18,0.39,0.36,2021-12-01,0630,N,VIIRS,l,1,303.16,3.14,D,0
17.634054,100.160187,334.3,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,302.67,4.08,D,0
17.670303,100.306816,329.95,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,300.57,2.09,D,0
17.593874,99.814575,330.79,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,296.16,2.68,D,0
17.672295,100.187347,335.74,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,302.67,4.73,D,0
17.982224,100.08979,326.16,0.39,0.36,2021-12-01,0630,N,VIIRS,l,1,299.16,1.37,D,0
18.025103,100.130562,332.36,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,302.4,2.42,D,0
17.956224,99.668808,330.84,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,297.27,4.34,D,0
18.036177,100.136154,330.96,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,300.26,2.13,D,0
18.034977,100.106483,331.16,0.39,0.36,2021-12-01,0630,N,VIIRS,l,1,301.52,1.38,D,0
18.047115,100.09697,328.99,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,300.27,1.35,D,0
18.076967,100.091942,325.74,0.39,0.36,2021-12-01,0630,N,VIIRS,l,1,300.06,1.3,D,0
17.971947,99.044296,327.09,0.4,0.37,2021-12-01,0630,N,VIIRS,n,1,297.82,2.19,D,0
18.244955,100.301926,339.04,0.38,0.36,2021-12-01,0630,N,VIIRS,n,1,302.08,3.75,D,0
18.255417,100.281555,343.86,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,301.03,6.97,D,0
18.252079,100.259773,333.91,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,301.48,3.36,D,0
18.326008,100.723137,335.08,0.38,0.36,2021-12-01,0630,N,VIIRS,n,1,301.31,3.18,D,0
18.241449,100.16835,345.15,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,302.76,4.56,D,0
18.243999,100.167999,341.26,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,300.54,3.66,D,0
18.33539,100.721634,334.09,0.38,0.36,2021-12-01,0630,N,VIIRS,n,1,302.35,5.09,D,0
18.445297,100.174789,325.38,0.39,0.36,2021-12-01,0630,N,VIIRS,l,1,300.16,1.51,D,0
18.381828,99.576309,335.31,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,301.29,3.77,D,0
18.579405,100.724983,333.95,0.38,0.36,2021-12-01,0630,N,VIIRS,n,1,303.12,3.82,D,0
18.589329,100.723343,343.23,0.38,0.36,2021-12-01,0630,N,VIIRS,n,1,300.67,3.62,D,0
18.159605,97.947716,333.81,0.44,0.38,2021-12-01,0630,N,VIIRS,n,1,301.91,6.25,D,0
18.427738,98.858276,345.91,0.41,0.37,2021-12-01,0630,N,VIIRS,n,1,298.62,8.23,D,0
